bathrooms,bedrooms,num_beds,can_instant_book,is_fully_refundable,is_superhost,is_new_listing,room_type_category,person_capacity,lat,lng,url,listing_key
1.0,1.0,2,True,True,False,False,entire_home,3,21.16147,-86.83464000000002,https://www.airbnb.com/rooms/33228966,33228966
1.0,1.0,1,True,True,True,False,private_room,2,21.13817,-86.77,https://www.airbnb.com/rooms/31196720,31196720
1.0,1.0,2,True,True,False,False,private_room,4,21.12952,-86.76268,https://www.airbnb.com/rooms/17140206,17140206
1.0,1.0,1,True,True,True,False,entire_home,2,21.16494,-86.82795,https://www.airbnb.com/rooms/28301863,28301863
1.0,1.0,1,True,True,False,False,entire_home,2,21.182123,-86.813477,https://www.airbnb.com/rooms/23308842,23308842
1.0,1.0,2,False,True,False,False,private_room,3,21.16588,-86.82081,https://www.airbnb.com/rooms/409359,409359
1.0,1.0,1,True,True,True,False,entire_home,2,21.150856,-86.822884,https://www.airbnb.com/rooms/10013056,10013056
1.0,1.0,1,True,True,True,False,entire_home,2,21.165699,-86.828484,https://www.airbnb.com/rooms/27902057,27902057
1.0,1.0,1,True,True,True,False,private_room,2,21.162701,-86.833084,https://www.airbnb.com/rooms/16425675,16425675
1.0,0.0,1,True,True,True,False,entire_home,2,21.16216,-86.83258000000002,https://www.airbnb.com/rooms/24377818,24377818
1.0,1.0,1,False,True,True,False,private_room,2,21.1546,-86.8294,https://www.airbnb.com/rooms/18549132,18549132
1.0,0.0,1,True,True,False,False,entire_home,2,21.160015,-86.843544,https://www.airbnb.com/rooms/19858708,19858708
2.0,1.0,1,True,True,True,False,private_room,2,21.13984,-86.83906,https://www.airbnb.com/rooms/9965590,9965590
4.0,1.0,1,True,True,False,False,shared_room,10,21.13207,-86.75012,https://www.airbnb.com/rooms/13724596,13724596
1.0,2.0,2,True,True,True,False,entire_home,4,21.16296,-86.83357,https://www.airbnb.com/rooms/2331981,2331981
1.5,1.0,2,True,True,False,False,private_room,2,21.12939,-86.76238000000002,https://www.airbnb.com/rooms/14237592,14237592
1.0,1.0,1,True,True,False,False,entire_home,2,21.15176,-86.825867,https://www.airbnb.com/rooms/1831174,1831174
1.0,1.0,1,True,True,False,False,entire_home,2,21.182167,-86.8134,https://www.airbnb.com/rooms/24555306,24555306
1.0,0.0,1,True,True,False,False,private_room,2,21.15337,-86.82845,https://www.airbnb.com/rooms/33117928,33117928
1.0,1.0,1,True,True,True,False,private_room,2,21.11482,-86.87575,https://www.airbnb.com/rooms/23837701,23837701
1.0,1.0,2,True,True,False,False,entire_home,3,21.15912,-86.83283,https://www.airbnb.com/rooms/17159245,17159245
1.0,1.0,1,True,True,False,False,entire_home,2,21.138494,-86.842247,https://www.airbnb.com/rooms/9156189,9156189
1.5,1.0,1,True,True,False,False,private_room,2,21.130659,-86.762589,https://www.airbnb.com/rooms/18182401,18182401
1.0,1.0,1,True,True,False,False,entire_home,2,21.16338,-86.82609000000002,https://www.airbnb.com/rooms/31223434,31223434
1.0,1.0,1,True,True,False,False,entire_home,2,21.16696,-86.85144,https://www.airbnb.com/rooms/7236402,7236402
1.5,1.0,2,True,True,False,False,private_room,2,21.13133,-86.76377,https://www.airbnb.com/rooms/14231127,14231127
1.0,1.0,1,False,True,True,False,entire_home,2,21.136248,-86.845352,https://www.airbnb.com/rooms/22431657,22431657
1.0,1.0,1,True,True,False,False,entire_home,3,21.14488,-86.8456,https://www.airbnb.com/rooms/19985954,19985954
1.0,2.0,0,True,True,True,False,entire_home,2,21.1613,-86.83913000000003,https://www.airbnb.com/rooms/30578135,30578135
1.0,1.0,2,False,True,True,False,private_room,3,21.083593,-86.848,https://www.airbnb.com/rooms/22845476,22845476
1.0,1.0,2,True,True,True,False,private_room,2,21.192888,-86.807411,https://www.airbnb.com/rooms/23726305,23726305
1.0,1.0,1,True,True,True,False,private_room,2,21.15118,-86.822891,https://www.airbnb.com/rooms/13856179,13856179
1.0,1.0,1,True,True,False,False,entire_home,2,21.138832,-86.840797,https://www.airbnb.com/rooms/12855877,12855877
1.0,1.0,1,True,True,False,False,private_room,2,21.182337,-86.813873,https://www.airbnb.com/rooms/24760436,24760436
1.0,1.0,1,True,True,True,False,entire_home,3,21.15119,-86.82472,https://www.airbnb.com/rooms/33742962,33742962
1.0,1.0,1,True,True,True,False,entire_home,2,21.139803,-86.8843,https://www.airbnb.com/rooms/18754474,18754474
1.0,1.0,1,False,True,True,False,private_room,2,21.15287,-86.82113000000003,https://www.airbnb.com/rooms/26412295,26412295
1.0,1.0,2,True,True,True,False,private_room,3,21.15934,-86.83181,https://www.airbnb.com/rooms/30552489,30552489
1.0,1.0,1,True,True,False,False,entire_home,3,21.137934,-86.841774,https://www.airbnb.com/rooms/10156181,10156181
1.0,1.0,1,True,True,True,False,entire_home,3,21.153021,-86.826065,https://www.airbnb.com/rooms/24469322,24469322
1.0,1.0,1,True,True,False,False,shared_room,10,21.07855,-86.85285,https://www.airbnb.com/rooms/20014075,20014075
1.0,1.0,1,True,True,False,False,private_room,2,21.14605,-86.82587,https://www.airbnb.com/rooms/33019622,33019622
1.5,1.0,1,True,True,True,False,private_room,2,21.13766,-86.85175,https://www.airbnb.com/rooms/15343470,15343470
1.0,2.0,2,False,True,True,False,entire_home,4,21.14751,-86.93456,https://www.airbnb.com/rooms/30144862,30144862
1.0,1.0,1,True,True,False,False,private_room,2,21.15976,-86.82519,https://www.airbnb.com/rooms/28188900,28188900
1.0,1.0,1,True,True,False,False,private_room,2,21.14714,-86.83736,https://www.airbnb.com/rooms/11562501,11562501
1.0,1.0,1,True,True,False,False,entire_home,2,21.13669,-86.84969,https://www.airbnb.com/rooms/22505317,22505317
1.0,1.0,1,True,True,False,False,private_room,2,21.14598,-86.84702,https://www.airbnb.com/rooms/14822453,14822453
1.0,2.0,7,True,True,False,False,entire_home,7,21.18428,-86.81441,https://www.airbnb.com/rooms/311921,311921
1.0,2.0,2,True,True,False,True,entire_home,4,21.13651,-86.84249,https://www.airbnb.com/rooms/35087183,35087183
1.0,2.0,2,True,True,False,False,private_room,5,21.19634,-86.87063,https://www.airbnb.com/rooms/30400482,30400482
1.0,1.0,1,True,True,False,False,private_room,2,21.16329,-86.83182,https://www.airbnb.com/rooms/25553528,25553528
1.0,1.0,1,True,True,True,False,entire_home,2,21.14874,-86.84444,https://www.airbnb.com/rooms/25911782,25911782
1.0,1.0,1,True,True,False,False,private_room,2,21.14856,-86.82686,https://www.airbnb.com/rooms/34307418,34307418
1.0,1.0,2,True,True,True,False,private_room,4,21.10886,-86.88359,https://www.airbnb.com/rooms/30469494,30469494
1.0,1.0,1,False,True,True,False,entire_home,2,21.14894,-86.82866999999997,https://www.airbnb.com/rooms/23998779,23998779
1.5,1.0,0,True,True,False,False,entire_home,6,21.163818,-86.828568,https://www.airbnb.com/rooms/28665746,28665746
