accuracy,avg_rating,checkin,cleanliness,communication,currency,guest_satisfication,host_reviews,location,monthly_price_factor,picture_count,price,response_rate,reviews_count,url,value,weekly_price_factor,listing_key
10,4.73,10,10,10,CAD,95,2267,10,0.8,32,25,100,581,https://www.airbnb.com/rooms/190126,10,0.87,190126
10,4.77,10,10,10,CAD,95,521,10,1.0,10,29,100,324,https://www.airbnb.com/rooms/19036570,10,1.0,19036570
10,4.95,10,10,10,CAD,99,147,10,0.8,13,21,100,39,https://www.airbnb.com/rooms/28312546,10,0.9,28312546
10,4.94,10,10,10,CAD,99,1735,10,1.0,28,29,100,366,https://www.airbnb.com/rooms/10207767,10,0.9,10207767
10,4.8100000000000005,10,10,10,CAD,96,139,10,0.7000000000000001,58,26,100,64,https://www.airbnb.com/rooms/24377897,10,0.89,24377897
10,4.8100000000000005,10,10,10,CAD,96,584,9,1.0,13,32,100,198,https://www.airbnb.com/rooms/16740671,9,1.0,16740671
10,4.88,10,10,10,CAD,98,277,10,0.79,15,24,100,165,https://www.airbnb.com/rooms/6415019,10,0.93,6415019
10,4.88,10,10,10,CAD,98,89,10,0.72,6,26,90,88,https://www.airbnb.com/rooms/21974394,10,0.9,21974394
9,4.67,10,9,10,CAD,93,794,10,0.86,23,24,100,267,https://www.airbnb.com/rooms/11969615,9,0.95,11969615
10,4.7,10,9,10,CAD,94,258,9,1.0,15,28,100,106,https://www.airbnb.com/rooms/23730793,9,1.0,23730793
10,4.91,10,10,10,CAD,98,1735,10,1.0,28,32,100,138,https://www.airbnb.com/rooms/11570240,10,0.9,11570240
10,4.57,10,9,10,CAD,91,199,10,0.9,15,21,100,35,https://www.airbnb.com/rooms/30928039,9,0.9,30928039
10,4.83,10,10,10,CAD,97,87,10,1.0,15,24,100,30,https://www.airbnb.com/rooms/33117766,10,1.0,33117766
9,4.65,10,10,10,CAD,93,221,10,0.7000000000000001,20,26,100,48,https://www.airbnb.com/rooms/22065764,9,0.91,22065764
10,4.8100000000000005,10,10,10,CAD,96,56,10,0.9,9,22,100,52,https://www.airbnb.com/rooms/24577793,10,0.97,24577793
10,4.84,10,10,10,CAD,97,364,9,0.9,19,24,86,101,https://www.airbnb.com/rooms/6767183,10,0.95,6767183
10,4.82,10,10,10,CAD,96,168,9,0.8,16,26,100,168,https://www.airbnb.com/rooms/12989015,10,0.9,12989015
10,4.85,9,10,10,CAD,97,100,9,0.97,23,22,100,93,https://www.airbnb.com/rooms/18870123,10,0.98,18870123
10,4.83,10,10,10,CAD,97,794,10,0.9,16,21,100,103,https://www.airbnb.com/rooms/23201934,10,0.93,23201934
10,4.94,10,10,10,CAD,99,62,10,1.0,9,30,100,62,https://www.airbnb.com/rooms/24170971,10,1.0,24170971
10,4.78,10,9,10,CAD,96,377,10,0.85,18,21,100,97,https://www.airbnb.com/rooms/20835858,10,0.95,20835858
10,4.73,10,10,10,CAD,95,377,10,0.85,20,21,100,98,https://www.airbnb.com/rooms/19739035,10,0.95,19739035
10,4.83,10,10,10,CAD,97,377,9,0.85,62,30,100,40,https://www.airbnb.com/rooms/24555702,10,0.95,24555702
10,4.63,10,10,10,CAD,93,406,10,0.87,29,26,100,248,https://www.airbnb.com/rooms/4396849,10,0.93,4396849
10,4.87,10,10,10,CAD,97,141,9,0.88,17,30,100,127,https://www.airbnb.com/rooms/21936652,10,0.9,21936652
9,4.5,9,10,10,CAD,90,379,8,0.8,26,21,100,66,https://www.airbnb.com/rooms/24752474,9,1.0,24752474
9,4.49,9,9,9,CAD,90,1376,9,0.95,41,28,100,130,https://www.airbnb.com/rooms/17136468,9,0.97,17136468
10,4.59,10,9,10,CAD,92,326,10,0.76,20,28,100,120,https://www.airbnb.com/rooms/23078503,9,0.9,23078503
10,4.69,10,9,10,CAD,94,258,9,1.0,19,21,100,49,https://www.airbnb.com/rooms/20137349,9,1.0,20137349
10,4.94,10,10,10,CAD,99,343,10,1.0,13,32,100,127,https://www.airbnb.com/rooms/20988313,10,1.0,20988313
10,4.95,10,10,10,CAD,99,86,10,1.0,15,24,100,43,https://www.airbnb.com/rooms/21752410,10,1.0,21752410
10,4.88,10,10,10,CAD,98,309,10,1.0,48,21,100,17,https://www.airbnb.com/rooms/33228966,10,1.0,33228966
10,4.74,10,10,10,CAD,95,311,10,1.0,20,30,100,19,https://www.airbnb.com/rooms/31196720,10,1.0,31196720
9,4.48,9,9,10,CAD,90,1376,9,0.9,15,30,100,153,https://www.airbnb.com/rooms/17140206,9,0.95,17140206
10,4.9,10,10,10,CAD,98,2267,10,0.8,28,21,100,88,https://www.airbnb.com/rooms/28301863,10,0.85,28301863
9,4.58,9,10,10,CAD,92,377,8,0.9,61,28,100,38,https://www.airbnb.com/rooms/23308842,9,0.95,23308842
10,4.66,10,10,10,CAD,93,335,10,0.8,21,24,100,233,https://www.airbnb.com/rooms/409359,10,0.95,409359
10,4.79,10,10,10,CAD,96,760,10,0.85,10,30,100,117,https://www.airbnb.com/rooms/10013056,10,0.9,10013056
10,4.8100000000000005,10,10,10,CAD,96,2267,10,0.8,48,25,100,89,https://www.airbnb.com/rooms/27902057,10,0.85,27902057
10,4.77,10,10,10,CAD,95,794,9,0.8,14,24,100,127,https://www.airbnb.com/rooms/16425675,10,0.9,16425675
10,4.83,10,10,10,CAD,97,139,9,0.81,57,22,100,54,https://www.airbnb.com/rooms/24377818,10,0.89,24377818
10,4.9,10,10,10,CAD,98,132,10,1.0,14,28,100,93,https://www.airbnb.com/rooms/18549132,10,1.0,18549132
10,4.79,10,9,10,CAD,96,258,9,1.0,9,21,100,67,https://www.airbnb.com/rooms/19858708,10,1.0,19858708
10,4.8,10,10,10,CAD,96,364,9,0.9,17,24,86,155,https://www.airbnb.com/rooms/9965590,10,0.95,9965590
10,4.79,10,10,10,CAD,96,86,10,1.0,23,28,100,56,https://www.airbnb.com/rooms/13724596,9,1.0,13724596
10,4.74,10,10,10,CAD,95,78,9,0.85,24,26,96,27,https://www.airbnb.com/rooms/2331981,10,0.95,2331981
9,4.48,10,9,10,CAD,90,1376,10,0.95,12,29,100,199,https://www.airbnb.com/rooms/14237592,9,0.98,14237592
10,4.66,10,9,10,CAD,93,537,10,1.0,25,24,100,146,https://www.airbnb.com/rooms/1831174,9,1.0,1831174
9,4.52,10,10,9,CAD,90,377,8,0.85,62,28,100,29,https://www.airbnb.com/rooms/24555306,9,0.95,24555306
9,4.73,9,9,10,CAD,95,87,9,1.0,12,21,100,22,https://www.airbnb.com/rooms/33117928,9,0.9,33117928
10,4.8100000000000005,10,10,10,CAD,96,76,9,0.8,25,22,100,42,https://www.airbnb.com/rooms/23837701,10,0.92,23837701
10,4.73,10,9,10,CAD,95,1337,10,1.0,29,30,100,110,https://www.airbnb.com/rooms/17159245,9,1.0,17159245
10,4.89,10,10,10,CAD,98,380,9,0.9,17,22,100,90,https://www.airbnb.com/rooms/9156189,10,0.95,9156189
10,4.58,10,9,10,CAD,92,236,10,0.95,39,22,100,74,https://www.airbnb.com/rooms/18182401,9,0.95,18182401
9,4.66,10,9,10,CAD,93,199,10,0.9,12,24,100,29,https://www.airbnb.com/rooms/31223434,9,0.9,31223434
10,4.67,10,10,10,CAD,93,19,9,0.7000000000000001,37,28,100,15,https://www.airbnb.com/rooms/7236402,9,0.85,7236402
9,4.72,10,9,10,CAD,94,1376,9,0.9,13,29,100,147,https://www.airbnb.com/rooms/14231127,10,0.95,14231127
10,4.85,10,10,10,CAD,97,225,9,0.8,28,28,100,71,https://www.airbnb.com/rooms/22431657,10,0.9,22431657
9,4.6,10,9,10,CAD,92,46,9,0.75,10,25,100,45,https://www.airbnb.com/rooms/19985954,9,0.88,19985954
10,4.74,10,10,10,CAD,95,35,9,0.9,53,32,100,35,https://www.airbnb.com/rooms/30578135,9,0.95,30578135
10,4.91,10,10,10,CAD,98,108,10,0.51,12,28,100,100,https://www.airbnb.com/rooms/22845476,10,0.79,22845476
10,4.86,10,10,10,CAD,97,151,10,0.85,38,28,100,49,https://www.airbnb.com/rooms/23726305,10,0.9,23726305
10,4.84,10,9,10,CAD,97,760,10,0.85,19,21,100,100,https://www.airbnb.com/rooms/13856179,10,0.9,13856179
10,4.85,10,10,10,CAD,97,380,10,0.9,41,22,100,69,https://www.airbnb.com/rooms/12855877,10,0.98,12855877
9,4.48,9,10,9,CAD,90,379,8,0.8,20,21,100,56,https://www.airbnb.com/rooms/24760436,9,1.0,24760436
10,4.92,10,10,10,CAD,98,853,10,1.0,30,32,100,13,https://www.airbnb.com/rooms/33742962,10,1.0,33742962
10,4.91,10,10,10,CAD,98,122,9,0.7000000000000001,12,22,100,46,https://www.airbnb.com/rooms/18754474,10,0.85,18754474
10,4.92,10,10,10,CAD,98,1735,10,1.0,24,32,100,79,https://www.airbnb.com/rooms/26412295,10,0.9,26412295
10,4.7,10,10,10,CAD,94,1333,9,0.93,23,24,100,37,https://www.airbnb.com/rooms/30552489,10,0.95,30552489
10,4.76,10,10,10,CAD,95,380,9,0.92,32,28,100,70,https://www.airbnb.com/rooms/10156181,9,0.96,10156181
10,4.86,9,10,10,CAD,97,29,10,0.75,11,26,100,28,https://www.airbnb.com/rooms/24469322,10,0.85,24469322
10,4.93,10,10,10,CAD,99,117,9,1.0,28,21,60,55,https://www.airbnb.com/rooms/20014075,10,1.0,20014075
10,4.93,10,10,10,CAD,99,65,10,0.7000000000000001,8,24,100,15,https://www.airbnb.com/rooms/33019622,10,0.9,33019622
10,4.62,9,10,9,CAD,92,254,9,0.86,12,21,100,78,https://www.airbnb.com/rooms/15343470,10,0.9,15343470
10,4.96,10,10,10,CAD,99,24,9,0.51,31,22,100,23,https://www.airbnb.com/rooms/30144862,10,0.79,30144862
9,4.55,10,9,10,CAD,91,119,10,1.0,16,28,100,53,https://www.airbnb.com/rooms/28188900,9,1.0,28188900
9,4.42,10,9,9,CAD,88,208,9,0.8,28,22,100,53,https://www.airbnb.com/rooms/11562501,9,0.95,11562501
10,4.8100000000000005,10,10,10,CAD,96,42,9,1.0,11,30,100,37,https://www.airbnb.com/rooms/22505317,10,1.0,22505317
10,4.71,10,9,10,CAD,94,129,9,0.77,15,22,100,63,https://www.airbnb.com/rooms/14822453,9,0.89,14822453
