guest_satisfication,host_reviews,monthly_price_factor,picture_count,price,response_rate,reviews_count,weekly_price_factor,listing_key
99,1333,0.95,23,25,100,32,1.0,30552364
100,5,0.68,13,26,93,2,0.88,33974546
98,21,0.85,8,22,0,14,0.9,22902859
97,132,0.8,23,22,100,46,0.9,13927495
0,0,0.55,18,22,100,0,0.8,35972942
80,379,0.65,15,22,100,6,0.9,29493671
94,74,1.0,8,21,100,50,0.9,18008057
96,11,0.7000000000000001,13,24,100,11,0.9,32237349
96,43,1.0,20,24,0,32,1.0,28940815
100,20,0.75,6,25,100,3,0.9,35565048
88,379,0.7000000000000001,21,32,100,18,0.9,24760674
91,26,0.8200000000000001,19,24,75,18,0.9,23328219
100,9,0.7000000000000001,14,29,100,6,0.8,33364482
96,132,0.8,25,29,100,43,0.9,9014388
0,3,1.0,10,24,93,0,1.0,35421750
99,61,0.75,11,28,100,20,0.93,22002557
91,36,0.8,18,30,100,14,0.85,23044534
98,14,0.8,7,26,80,12,0.9,18426024
92,95,0.8,24,25,100,24,0.9,18124741
100,5,0.68,24,26,0,3,0.9,30075094
96,21,0.85,20,30,100,21,1.0,13771020
87,8,0.85,12,24,100,6,0.9,34063784
100,61,1.0,21,24,100,21,1.0,22083962
98,377,0.9,64,28,100,11,0.95,24555627
92,87,1.0,9,25,100,5,1.0,34092041
99,35,1.0,12,21,100,25,1.0,28960172
99,63,0.91,27,30,100,63,0.96,21893963
100,2,0.85,18,22,90,2,0.9,33228798
99,27,0.8,10,24,100,26,0.9,24912655
97,33,0.9,16,30,100,33,0.95,27340651
95,13,0.9,9,30,100,11,0.95,31661830
95,132,1.0,16,25,100,11,1.0,32448037
89,34,0.8,12,28,100,20,0.95,23543878
93,189,0.72,31,22,93,46,0.9,15282518
98,82,0.7000000000000001,9,29,100,49,0.89,20213490
84,236,0.95,44,25,100,44,0.95,18181878
93,36,0.53,12,29,100,14,0.65,30287667
93,189,0.7000000000000001,28,22,93,14,0.89,19943378
96,46,1.0,25,22,0,36,1.0,16604487
100,3,1.0,18,22,100,3,1.0,32841627
90,41,1.0,12,24,100,41,1.0,24149904
99,33,0.7000000000000001,15,30,100,21,0.89,16643266
95,179,0.7000000000000001,64,24,97,16,0.8,22602634
91,50,0.87,18,29,100,7,0.95,32164824
96,32,0.9,5,28,80,9,0.9,22495268
94,84,1.0,27,21,100,32,1.0,22399858
91,43,0.8,8,22,100,20,0.9,18612030
95,20,1.0,18,28,100,16,1.0,25294024
70,19,0.6000000000000001,9,30,0,5,0.8,18312046
95,33,0.75,15,32,100,31,0.85,25073476
92,19,0.85,16,24,100,13,0.9,32739567
100,9,0.71,9,24,100,9,0.89,25428160
96,82,0.71,10,29,100,27,0.9,19195624
89,118,0.8,18,21,100,46,0.9,22360877
100,90,0.6000000000000001,32,22,100,38,0.9,18039601
0,20,0.75,6,26,100,0,0.9,35516054
98,397,0.85,9,29,100,17,0.9,31046115
89,57,0.85,16,32,100,37,1.0,19080641
95,156,0.9,6,21,100,56,0.9,18736543
95,23,1.0,6,21,100,8,0.75,31264238
95,537,1.0,25,22,100,61,0.89,12847061
97,208,0.88,20,24,100,14,0.93,29823345
92,100,1.0,12,24,95,19,1.0,26533933
80,41,1.0,6,21,100,4,1.0,26432518
91,115,0.91,11,25,93,29,0.95,23360141
95,35,1.0,18,21,100,19,1.0,21484660
92,6,0.8,18,29,100,5,0.9,32523385
